ID;Deal ID;Data source type;URL;File;Publication title;Date;Name;Organisation;Email;Phone;Open Contracting ID;Comment on data source
bqODo9z_;20;Government sources;http://www.opendevelopmentcambodia.net/references/BNA_Cam__21.06.2011.pdf;uploads/opendevelopmentcambodianetreferencesbna_cam__21062011pdf.pdf;;2011-06-21;;;;;;
FhdOMOm_;20;Research Paper / Policy Report;http://www.fao.org/fileadmin/templates/tci/pdf/InternationalInvestment/Cambodia/CambodiaFINAL_CDRI-FAO_-_FDI_in_agriculture_revise_08-08-2011_final_4_Sue_hang_fao_June-2012.pdf;uploads/faoorgfileadmintemplatestcipdfinternationalinvestmentcambodiacambodiafinal_cdri-fao_-_fdi_in_agriculture_revise_08-08-2011_final_4_sue_hang_fao_june-2012pdf.pdf;;2012-06-01;;;;;;
J8IFBMKQ;20;Media report;http://khmernz.blogspot.ch/2011/01/land-clearance-by-korean-firm-blocked.html;uploads/khmernzblogspotch201101land-clearance-by-korean-firm-blockedhtml.pdf;;2011-01-07;;;;;;
OE58iPKg;20;Government sources;http://www.cambodiainvestment.gov.kh/content/uploads/2011/09/Chapter7.pdf;uploads/cambodiainvestmentgovkhcontentuploads201109chapter7pdf.pdf;;2011-09-01;;;;;;
T9T_SIgD;20;Research Paper / Policy Report;http://issuu.com/ngoforumoncambodia/docs/ogb_s_eccf_baseline_study__final_re;uploads/issuucomngoforumoncambodiadocsogb_s_eccf_baseline_study__final_re.pdf;;2013-01-01;;;;;;PDF and URL does not work (26/05/2025)
1WrpIsnv;20;Research Paper / Policy Report;https://opendevelopmentcambodia.net/profiles/economic-land-concessions?feature_id=elc_gdc_116;uploads/economic-land-concessions-open-development-cambodia-odc.pdf;Economic land concessions;;;;;;;
h7PqKmn4;20;Research Paper / Policy Report;https://www.preferredbynature.org/sites/default/files/library/2017-07/NEPCon-ForestTrends-Cambodia-conversion-2014-11.pdf;uploads/nepconnetsitesdefaultfileslibrarynepcon-foresttrends-cambodia-conversion-2014-11pdf_oyU1s7p.pdf;Forest-Land Conversion and Conversion Timber Estimates: Cambodia Case Study;2014-11;Alexandra Banks, Christian Sloth, David Hadley Garcia and Koy Ra;NEPCon;;;;
XqDGMPIu;20;Research Paper / Policy Report;https://cdn.prod.website-files.com/6215b04cab9f8f7b07395607/622031daeba9e114e9892c66_Customary%20Land%20Tenure%20and%20Practices.pdf;uploads/622031daeba9e114e9892c66_Customary Land Tenure and Practices.pdf;;;;;;;;Customary land tenure practice on project area (mention of investor related to its impact, encroachment)
zUzFb15u;20;Company sources;https://www.yumpu.com/pt/document/view/32087003/iv-bna-cam-corp-asean-korea-centre#;uploads/Ⅳ. BNA (CAM) Corp. 소개 - asean-korea centre.pdf;;;;;;;;A summary about project found from company's presentation in non-english
2ewK-yj8;20;Company sources;https://www.yumpu.com/pt/document/view/32087003/iv-bna-cam-corp-asean-korea-centre#;uploads/BNA (CAM) Translated document.pdf;;;;;;;;Translated version of the presentation
NG1d7SEO;20;Other;https://data.opendevelopmentcambodia.net/library_record/economic-land-concessions-profile-bna-cam-corp/resource/8c3f40b3-b095-4835-b247-b1ed8161b738;uploads/bnacam21_VCEpJIb.06.2011 (4).pdf;;;;;;;;Online open database
qJ-gRasI;23;Government sources;;uploads/opendevelopmentcambodianetreferencescj_cambodia_corporation_1__21062011pdf.pdf;C.J. Cambodia Corporation Co., Ltd. 1;2011-06-21;;Ministry of Agriculture, Forestry and Fisheries for Food Security and Sustainable Development;;;;Expired URL: http://www.opendevelopmentcambodia.net/references/C.J_Cambodia_Corporation_1__21.06.2011.pdf
4Qa8pF7L;23;Company sources;http://cjcambodia.en.ec21.com/;uploads/cjcambodiaenec21com.pdf;Company Introduction;;;CJ Cambodia;;;;
zZ4kEohW;23;Other;https://opendevelopmentcambodia.net/profiles/economic-land-concessions/?feature_id=elc_gdc_110;uploads/economic-land-concessions-_-open-development-cambodia-odc_lm_deal23.pdf;Economic land concessions;2016-05-03;;;;;;Deal details on opendevelopmentcambodia.com
PDsAEG5t;23;Company sources;;uploads/mhethanolcomengcompanyco_10_viewaspseq1gotopage1search_textsearch_fieldt10.pdf;Muhak Alcohol Enters Bio-Methanol Market with Full Force by Establishing Strategic Alliance with Cambodia;2006-11-01;;Muhak Alcohol;;;;Expired URL: http://www.mhethanol.com/eng/company/co_10_view.asp?Seq=1&GotoPage=1&Search_Text=&Search_Field=&t=10
9e8Wn4kY;23;Research Paper / Policy Report;http://www.fao.org/fileadmin/templates/tci/pdf/InternationalInvestment/Cambodia/CambodiaFINAL_CDRI-FAO_-_FDI_in_agriculture_revise_08-08-2011_final_4_Sue_hang_fao_June-2012.pdf;uploads/faoorgfileadmintemplatestcipdfinternationalinvestmentcambodiacambodiafinal_cdri-fao_-_fdi_in_agriculture_revise_08-08-2011_final_4_sue_hang_fao_june-2012pdf.pdf;Foreign Investment in Agriculture in Cambodia;2012-06-01;;Cambodia Development Resource Institute (CDRI);;;;
gwmYqLov;23;Government sources;;uploads/cambodiainvestmentgovkhcontentuploads201403kampong-speu-province_engpdf.pdf;;2014-01-01;;;;;;"The record of the land area (5,000 ha) was combined with the land (3,000 ha) owned by the same company in the same district

Expired URL: http://www.cambodiainvestment.gov.kh/content/uploads/2014/03/Kampong-Speu-Province_eng.pdf"
mbuU0k3P;23;Other;https://opendevelopmentcambodia.net/dataset/?id=economiclandconcessions;uploads/dataset-_-open-development-cambodia-odc_8XYiBzR.pdf;Economic land concessions (ELCs);2019-02-21;;OpenDevelopment Cambodia;;;;Source for shapefile of contract area. Procedure: Downloaded shapefile [shp], extracted single polygons, checked attribute table for contract date and other criteria and searched for the respective deal in LM database.
P2cBynsW;23;Other;;uploads/c-j-cambodia-co., Ltd_;C J Cambodia Co., Ltd.;2021-06-07;;Bongthom;;;;"This article supports the information that was added to general information and produce info.

Expired URL: https://lite.bongthom.com/company_detail/cj_cambodia_co_ltd_18.html"
picXA6gr;23;Other;;uploads/cj-cambodia-co., Ltd(2);CJ Cambodia Co., Ltd;2021-06-07;;Companiess;;;;"This data source supports the information that was added to general information on land area.

Expired URL: https://www.companiess.com/cj_cambodia_co_ltd_info1907591.html"
x5WrqE0l;23;Research Paper / Policy Report;https://www.forest-trends.org/wp-content/uploads/imported/cambodia-report-new-pdf.pdf;uploads/cambodia-report-new-pdf.pdf;Customs, Concessionaires and Conflicts: Tracking Cambodia's Commodity Chain and Export Links with China;2005;Keith Barney;Forest Trends;;;;This article supports the data added to the local communities / indigenous people under Land conflict.
DtqVivKG;23;Research Paper / Policy Report;http://ticambodia.org/library/wp-content/files_mf/14363288502004_LandConcessionsforEconomic_EN.pdf;uploads/14363288502004_LandConcessionsforEconomic_EN.pdf;Land concessions for economic purposes in Cambodia: A human rights perspective;2004-11;;United Nations Cambodia Office of the High Commissioner for Human Rights;;;;This article supports the data added to the local communities / indigenous people under  Negative impacts for local communities.
H-u3DG2g;23;Media report;https://www.marketscreener.com/quote/stock/MH-ETHANOL-CO-LTD-19180577/news/MH-Ethanol-Co-Ltd-completed-the-sale-of-an-80-stake-in-CJ-Cambodia-Co-Ltd-38781817/;uploads/MH Ethanol Co_2ZRbwcP., Ltd. completed the sale of an 80% stake in CJ Cambodia Co., Ltd. _ MarketScreener.pdf;MH Ethanol Co., Ltd. completed the sale of an 80% stake in CJ Cambodia Co., Ltd.;2014-03-20;;Market Screener;;;;
3N9WN7LF;23;Company sources;https://cjcambodia.en.ec21.com/company_info.html;uploads/CJ Cambodia Co., Ltd - Company Profile.pdf;Company Introduction;2025-08-13;;CJ Cambodia;;;;
EZtAeH7H;39;Government sources;http://www.opendevelopmentcambodia.net/references/Fortuna_Plantation_Cambodia__21.06.2011.pdf;uploads/opendevelopmentcambodianetreferencesfortuna_plantation_cambodia__21062011pdf.pdf;Profile - Fortuna Plantation Limited;2011-06-21;;Ministry of Agriculture, Forestry and Fisheries for Food Security and Sustainable Development;;;;Broken link: http://www.opendevelopmentcambodia.net/references/Fortuna_Plantation_Cambodia__21.06.2011.pdf
rSDGy37I;39;Research Paper / Policy Report;http://twgfr.org/download/Study%20Reports(2)/19-Understanding%20timber%20flows%20and%20control%20in%20Cambodia-English.pdf;uploads/apafriorgactivitiesbhutan2013publicationm820making20forestry20work20for20the20poorpdf.pdf;Making Forestry Work for the Poor;2012;;Food and Agriculture organization of the United Nations - Regional Office for Asia and the Pacific;Patrick.Durst@fao.org;(66-2) 697 4000;;"URL does not match the pdf.
URL: http://twgfr.org/download/Study%20Reports(2)/19-Understanding%20timber%20flows%20and%20control%20in%20Cambodia-English.pdf"
Qi-THvah;39;Government sources;http://www.cambodiainvestment.gov.kh/content/uploads/2014/03/Kampong-Speu-Province_eng.pdf;uploads/forestpeoplesorgsitesfppfilespublication201111oil-palm-expansion-southeast-asia-2011-low-respdf.pdf;Oil Expansion in South East Asia - Trends and implications for local communities and Indigenous people;2011-07;Marcus Colchester, Sophie Chao, Jonas Dallinger, H.E.P. Sokhannaro, Vo Thai Danand Jo Villanueva;Forest Peoples Programme, Perkumpilan Sawit Watch;info@forestpeoples.org;01608 652893;;"URL does not work (as of 23/07/2025).
URL: http://www.cambodiainvestment.gov.kh/content/uploads/2014/03/Kampong-Speu-Province_eng.pdf"
vu-xSGjk;39;Research Paper / Policy Report;http://www.nepcon.net/sites/default/files/library/NEPCon-ForestTrends-Cambodia-conversion-2014-11.pdf;uploads/cambodiainvestmentgovkhcontentuploads201403kampong-speu-province_engpdf.pdf;Kampong Speu Province;2014-11-01;Mr. Kang Vannaro;Municipality and Province, Investment Information;kang_vannaro@yahoo.com; 017 556 558;;"URL does not work (as of 23/07/2025).
URL: http://www.nepcon.net/sites/default/files/library/NEPCon-ForestTrends-Cambodia-conversion-2014-11.pdf"
5jLrIFwp;39;Research Paper / Policy Report;http://www.apafri.org/activities/Bhutan2013/Publication/M8%20making%20forestry%20work%20for%20the%20poor.pdf;uploads/nepconnetsitesdefaultfileslibrarynepcon-foresttrends-cambodia-conversion-2014-11pdf.pdf;Forest-Land Conversion and Conversion Timber Estimates:Cambodia Case Study;2014-11;Alexandra Banks, Christian Sloth, David Hadley Garcia and Koy Ra;NEPCon;info@nepcon.net;+45 8618;;"URL does not work (as of 23/07/2025).
URL: http://www.apafri.org/activities/Bhutan2013/Publication/M8%20making%20forestry%20work%20for%20the%20poor.pdf"
rPTegWv2;39;Government sources;;uploads/twgfrorgdownloadstudy20reports219-understanding20timber20flows20and20control20in20cambodia-englishpdf.pdf;Understanding timber flows and control in Cambodia in the context of FLEGT;2014-03;;Global Forestry Services;;;;Provides investor info
uEF995lv;39;Media report;https://www.euflegt.efi.int/documents/10180/211477/Understanding+timber+flows+and+control+in+Cambodia+in+the+context+of+FLEGTc/03c0c17a-5dd0-43d6-9ccc-b4f661ba7463;uploads/Understanding timber flows and control in Cambodia in the context of FLEGTc.pdf;Technical Working Group on Forestry Reform Understanding timber flows and control in Cambodia in the context of FLEGT;2014;;Global Forestry Services;;;;"This article supports the data from the contract and land area. 
URL informs that: This website was archived on the 31st of October 2024, and the information contained herein is no longer updated.
URL: https://www.euflegt.efi.int/documents/10180/211477/Understanding+timber+flows+and+control+in+Cambodia+in+the+context+of+FLEGTc/03c0c17a-5dd0-43d6-9ccc-b4f661ba7463"
