ID;Deal ID;Spatial accuracy level;Location;Point;Facility name;Location description;Comment on location
wVLM8Isn;20;Coordinates;Santuk, Cambodia;12.73169,105.10388;Rubber Tree Plantation Development Project in Kampong Thom Province, Cambodia;;"Location: Santuk District, Kampong Thom Province. 
Coordinates:
A:512216-1410027, A1:512214-1410909, B:518840-1410000, B1:518832-1410903,
B2:517450-1410000, B3:516000-1407000, B4:518832-1407000, C:518812-1400344,
D:502000-1400344, E:502000-1403183, F:510202-1403183, G:510202-1408305.

Shapefile source of contract area: https://opendevelopmentcambodia.net/dataset/?id=economiclandconcessions"
8cmtvIy8;23;Coordinates;Phnom Sruoch, Cambodia;11.17647,104.29334;;The concession is located in Trang Troyeung Commune, Phnom Srouch District, Kompong Speu Province, adjacent to a previously granted 3,000-hectare concession awarded to the same company.;
ZXyv2N-T;39;Administrative region;Phnom Sruoch, Samrong Oral Districts, Cambodia;11.575272,104.23685;;Land Concession Location;"Phnom Srouch, Samrong and Oral Districts, Kampong Speu Province
Coordinates from deleted LO deal duplicate:
11.575272107170838
104.23685859627895"
qtfrpXjG;39;Administrative region;Samrong, Cambodia;11.28629,104.72366;;;
5Txr2D_R;67;Coordinates;Botum Sakor, Cambodia;11.21677,103.5987;;;Botomsakor District, Koh Kong Province
gYj4I5m-;100;Coordinates;Trappeang Chhour and Sangkae Satob Commune, Aoral District, Kampong Speu​, Cambodia;11.832847,104.071857;;;Oral district
jO8zBF_c;182;Administrative region;West Kalimantan, Indonesia;-0.27878,111.47529;;;Minamas estates in West Kalimantan: Awatan, Beturus, East, Kelampai, Lembiru, Pelanjau, Mas 1 – 3, Sei Mawang, Sungai Putih, West.
tlrzQQ7N;191;Administrative region;Sanggau Regency, West Kalimantan, Indonesia;0.14001,110.52155;;;Kembayan, Sanggau, West Kalimantan and Kedukul, Sanggau, West Kalimantan.
pvlOm5FM;195;Coordinates;Sorong, Republik Indonesien;-1.0645,131.5207;; ;
oEIf7GHr;206;Administrative region;Almaty, Kazakhstan;43.22201,76.85125;;;
iPqX-UNE;253;Coordinates;Atsaphangthong, Laos;16.69314,105.3964;;The crop is grown in the Donghen area of Atsaphangthong district.;"Location was found on google maps
"
S1EAVs0m;268;Administrative region;Savannakhet, Laos;16.50654,105.59434;;;"In three districts of Savannakhet province: Xayburi, Champhone and Outumphone districts
Source: FAO"
s0x0zmXU;274;Administrative region;Muang Pakxong, Paksong, Laos;15.17964,106.2379;;;
SPxNAAMK;308;Administrative region;Sabah, Malaysia;5.4204,116.79678;;;
3j-cgCbM;404;Administrative region;Davao del Norte, Philippines;7.56177,125.65328;RP Harvest, Inc. (also referred to as RP Bahrain Harvest, Inc.);"Originally Davao del Norte province; later shifted to Alabel, Sarangani province (Mindanao)";This is the joint venture entity established between the Philippines’ AMA Group and Bahrain’s Hassan/NEH Group
lTcFqhIn;404;Administrative region;Sarangani, Philippines;5.92672,124.99475; RP Harvest, Inc. (also referred to as RP Bahrain Harvest, Inc.);"Originally Davao del Norte province; later shifted to Alabel, Sarangani province (Mindanao)";The initial plan targeted 10,000 ha in Davao del Norte, but the project’s pilot implementation took place on 85 ha in Barangay Domolok, Alabel (Sarangani’s capital). This is the joint venture entity established between the Philippines’ AMA Group and Bahrain’s Hassan/NEH Group
_xgGoMJ7;470;Administrative region;Bukidnon, Philippines;8.05151,124.92299;Dole Philippines, Inc. (Dolefil) Pineapple and Banana Plantations.;Southern Mindanao, Philippines – primarily in Region XII (SOCCSKSARGEN), covering provinces of South Cotabato and Sarangani (where Dolefil’s base plantations are), with expansion sites identified in Sultan Kudarat, North Cotabato, Davao del Sur, and Bukidnon;The main hub is around Polomolok, South Cotabato (Dolefil’s cannery and estate), and new plantation areas extend to nearby municipalities such as T’boli, Lake Sebu, Surallah, Banga (South Cotabato) and Columbio (Sultan Kudarat). These locations include both lowland and upland terrain on the island of Mindanao
nHZXwW9f;470;Administrative region;Polomolok, South Cotabato, Philippines;6.23,125.07;Dole Philippines, Inc. (Dolefil) Pineapple and Banana Plantations.;The primary operations are located in the provinces of South Cotabato (specifically in the municipalities of Polomolok, T'boli, Tupi, Surallah, Lake Sebu, and Banga) and Sarangani, within the SOCCSKSARGEN region on the island of Mindanao, Philippines. The company has also been seeking expansion into North Cotabato, Sultan Kudarat, Davao del Sur, and Bukidnon;The main hub is around Polomolok, South Cotabato (Dolefil’s cannery and estate), and new plantation areas extend to nearby municipalities such as T’boli, Lake Sebu, Surallah, Banga (South Cotabato) and Columbio (Sultan Kudarat). These locations include both lowland and upland terrain on the island of Mindanao
